ID,底本/出典,データベースID,史料名,記述内容,記述場所,場所（町、寺名、場所データ）,年月日（作成）,年月日（作成）2,年月日（被害）,年月日（被害）3,伝聞/体験,被害種別,緯度経度,座標/レベル,座標に関する備考,備考
11,『大日本地震史料』（震災予防調査会報告第四十六号）,不明,田邊町役場記録,続て海嘯暴溢し、相模の小田原、鎌倉の沿海、安房の長狭、朝夷両郡、上総の夷隅郡等、其災を被れり,―,上総国夷隅郡,―,―,1703/12/31,元禄16/11/23,―,津波被害,"35.285179,140.245407",2,便宜的に大多喜町役場に置く。,
12,『大日本地震史料』（震災予防調査会報告第四十六号）,S00001495,元禄年録,御城中所々石垣、御櫓御多門等崩破,―,江戸城,1703/12/31,元禄16/11/23,1703/12/31,元禄16/11/23,―,建物被害,"35.684627,139.752032",3,,
13,『大日本地震史料』（震災予防調査会報告第四十六号）,S00001495,元禄年録,江戸中大小名之家作、並町屋民家転倒夥敷也,―,江戸,1703/12/31,元禄16/11/23,1703/12/31,元禄16/11/23,―,建物被害,"35.684627,139.752032",1,便宜的に皇居に置く。,
14,『大日本地震史料』（震災予防調査会報告第四十六号）,S00001495,元禄年録,相州小田原、城中城外人家潰、失火燃出、人多損亡、,―,小田原,1703/12/31,元禄16/11/23,1703/12/31,元禄16/11/23,―,建物被害,"35.251334,139.154094",2,便宜的に小田原城跡に置く。,
15,『大日本地震史料』（震災予防調査会報告第四十六号）,S00001495,元禄年録,相州小田原、城中城外人家潰、失火燃出、人多損亡、,―,小田原,1703/12/31,元禄16/11/23,1703/12/31,元禄16/11/23,―,火災被害,"35.251334,139.154094",2,便宜的に小田原城跡に置く。,
16,『大日本地震史料』（震災予防調査会報告第四十六号）,S00001495,元禄年録,相州小田原、城中城外人家潰、失火燃出、人多損亡、,―,小田原,1703/12/31,元禄16/11/23,1703/12/31,元禄16/11/23,―,人的被害,"35.251334,139.154094",2,便宜的に小田原城跡に置く。,
17,『大日本地震史料』（震災予防調査会報告第四十六号）,S00001495,元禄年録,安房上総潮漲、海民悉漂流、死亡者不可勝計、,―,安房国,1703/12/31,元禄16/11/23,1703/12/31,元禄16/11/23,―,津波被害,"35.043221,139.840103",1,便宜的に南房総市役所に置く。,
18,『大日本地震史料』（震災予防調査会報告第四十六号）,S00001495,元禄年録,安房上総潮漲、海民悉漂流、死亡者不可勝計、,―,安房国,1703/12/31,元禄16/11/23,1703/12/31,元禄16/11/23,―,人的被害,"35.043221,139.840103",1,便宜的に南房総市役所に置く。,
19,『大日本地震史料』（震災予防調査会報告第四十六号）,S00001495,元禄年録,安房上総潮漲、海民悉漂流、死亡者不可勝計、,―,上総国,1703/12/31,元禄16/11/23,1703/12/31,元禄16/11/23,―,津波被害,"35.498055,140.115555",1,便宜的に市原市役所に置く。,
20,『大日本地震史料』（震災予防調査会報告第四十六号）,S00001495,元禄年録,安房上総潮漲、海民悉漂流、死亡者不可勝計、,―,上総国,1703/12/31,元禄16/11/23,1703/12/31,元禄16/11/23,―,人的被害,"35.498055,140.115555",1,便宜的に市原市役所に置く。,
21,『大日本地震史料』（震災予防調査会報告第四十六号）,S00001495,元禄年録,今度地震ニ付而、紀伊殿御守殿御破損ニ付、鶴姫様当分西丸大奥江御移被成候…,―,紀伊殿御守殿,1704/1/2,元禄16/11/25,1703/12/31,元禄16/11/23,―,建物被害,"35.679806,139.737527",3,現、東京ガーデンテラス紀尾井町。,
22,『大日本地震史料』（震災予防調査会報告第四十六号）,S00001495,元禄年録,右者居城小田原地震火事大破、其上関所も有之,―,小田原城,1704/1/5,元禄16/11/28,1703/12/31,元禄16/11/23,―,建物被害,"35.251334,139.154094",3,,
23,『大日本地震史料』（震災予防調査会報告第四十六号）,S00001495,元禄年録,右者居城小田原地震火事大破、其上関所も有之,―,小田原関所,－,－,1703/12/31,元禄16/11/23,―,建物被害,"35.251334,139.154094",3,便宜的に小田原城跡に置く。,
24,『大日本地震史料』（震災予防調査会報告第四十六号）,S00001710,基煕公記,従江戸甲府内飛札到来、去廿三日去暁丑刻大地震、従丑刻及卯刻、所々破損,―,江戸,－,－,1703/12/31,元禄16/11/23,伝聞,建物被害,"35.684627,139.752032",1,便宜的に皇居に置く。,
25,『大日本地震史料』（震災予防調査会報告第四十六号）,S00001710,基煕公記,従江戸甲府内飛札到来、去廿三日去暁丑刻大地震、従丑刻及卯刻、所々破損,―,甲府,－,－,1703/12/31,元禄16/11/23,伝聞,建物被害,"35.662232,138.568296",1,便宜的に甲府市役所に置く。,
26,『大日本地震史料』（震災予防調査会報告第四十六号）,S00001710,基煕公記,甲府居所過半崩、大概本丸大分破損、諸大名家々同篇云々、人多死云々,―,甲府,－,－,1703/12/31,元禄16/11/23,伝聞,建物被害,"35.664965,138.569890",3,便宜的に甲府城跡に置く。,
27,『大日本地震史料』（震災予防調査会報告第四十六号）,S00001710,基煕公記,甲府居所過半崩、大概本丸大分破損、諸大名家々同篇云々、人多死云々,―,甲府,－,－,1703/12/31,元禄16/11/23,伝聞,人的被害,"35.664965,138.569890",3,便宜的に甲府城跡に置く。,
28,『大日本地震史料』（震災予防調査会報告第四十六号）,S00001710,基煕公記,凡関ヨリ東大地震、山崩,―,関東,－,－,1703/12/31,元禄16/11/23,伝聞,山崩,詳細不明,1,地域広く座標設定困難。,
29,『大日本地震史料』（震災予防調査会報告第四十六号）,S00001710,基煕公記,小田原宿、城等一宇不残、地震後出火悉焼、人馬尽数死云々、荒井人馬悉死、泊舟尽数破損、或又逐電云々,―,小田原宿,－,－,1703/12/31,元禄16/11/23,伝聞,建物被害,"35.251334,139.154094",2,便宜的に小田原城跡に置く。,
30,『大日本地震史料』（震災予防調査会報告第四十六号）,S00001710,基煕公記,小田原宿、城等一宇不残、地震後出火悉焼、人馬尽数死云々、荒井人馬悉死、泊舟尽数破損、或又逐電云々,―,小田原宿,－,－,1703/12/31,元禄16/11/23,伝聞,火災被害,"35.251334,139.154094",2,便宜的に小田原城跡に置く。,
31,『大日本地震史料』（震災予防調査会報告第四十六号）,S00001710,基煕公記,小田原宿、城等一宇不残、地震後出火悉焼、人馬尽数死云々、荒井人馬悉死、泊舟尽数破損、或又逐電云々,―,小田原宿,－,－,1703/12/31,元禄16/11/23,伝聞,人的被害,"35.251334,139.154094",2,便宜的に小田原城跡に置く。,
32,『大日本地震史料』（震災予防調査会報告第四十六号）,S00001710,基煕公記,御城并大名屋舗・小屋敷町屋まて、所々おひたゝしく破損有之,―,江戸城・城下,－,－,1703/12/31,元禄16/11/23,伝聞,建物被害,"35.684627,139.752032",2,便宜的に皇居に置く。,
33,『大日本地震史料』（震災予防調査会報告第四十六号）,S00001710,基煕公記,下御勘定部屋より喰違御門迄不残つふれ,―,下御勘定部屋,－,－,1703/12/31,元禄16/11/23,伝聞,建物被害,"35.686063,139.760323",3,便宜的に大手門に置く。,
34,『大日本地震史料』（震災予防調査会報告第四十六号）,S00001710,基煕公記,三之丸御土蔵、其外所々ゆりつふし、おひたゝしき御破損にて、あやまち死人なとも御座候由,―,三之丸土蔵,－,－,1703/12/31,元禄16/11/23,伝聞,人的被害,"35.686525,139.759269",3,便宜的に三の丸尚蔵館に置く。,
35,『大日本地震史料』（震災予防調査会報告第四十六号）,S00001710,基煕公記,三之丸御土蔵、其外所々ゆりつふし、おひたゝしき御破損にて、あやまち死人なとも御座候由,―,三之丸土蔵,－,－,1703/12/31,元禄16/11/23,伝聞,人的被害,"35.686525,139.759269",3,便宜的に三の丸尚蔵館に置く。,
36,『大日本地震史料』（震災予防調査会報告第四十六号）,S00001710,基煕公記,大御留守居与力番所、二之丸銅御門かふき番所、紅葉山下かふき番所、内桜田御門番所、大手腰掛、一、橋御舂屋、一、和田倉御門、一、馬場先御門、一、鍜冶橋御門、一、数寄橋御門、一、山下御門、一、雉子橋御門、一、小石川御門、一、牛込御門、一、市ケ谷御門、一、半蔵御門、一、赤坂御門、一、四谷御門、一、田安御門、一、竹橋御門、一、吹上御門、一、内竹橋口、一、北之丸口、清水御門、一、壱ツ橋御門、一、神田御門、一、平川口御門、一、筋違橋御門、一、浅草橋御門、一、常盤橋御門、一、呉服橋御門、一、外桜田御門、一、西丸下御厩、一、虎之御門、一、幸橋御門、一、日比谷御門、右之所々破損ゆりつふし、死人あやまちも大勢有之由,―,大御留守居与力番所,－,－,1703/12/31,元禄16/11/23,伝聞,建物被害,"35.685618,139.757359",3,大番所に置く。,
37,『大日本地震史料』（震災予防調査会報告第四十六号）,S00001710,基煕公記,大御留守居与力番所、二之丸銅御門かふき番所、紅葉山下かふき番所、内桜田御門番所、大手腰掛、一、橋御舂屋、一、和田倉御門、一、馬場先御門、一、鍜冶橋御門、一、数寄橋御門、一、山下御門、一、雉子橋御門、一、小石川御門、一、牛込御門、一、市ケ谷御門、一、半蔵御門、一、赤坂御門、一、四谷御門、一、田安御門、一、竹橋御門、一、吹上御門、一、内竹橋口、一、北之丸口、清水御門、一、壱ツ橋御門、一、神田御門、一、平川口御門、一、筋違橋御門、一、浅草橋御門、一、常盤橋御門、一、呉服橋御門、一、外桜田御門、一、西丸下御厩、一、虎之御門、一、幸橋御門、一、日比谷御門、右之所々破損ゆりつふし、死人あやまちも大勢有之由,―,大御留守居与力番所,－,－,1703/12/31,元禄16/11/23,伝聞,人的被害,"35.685618,139.757359",3,大番所に置く。,
38,『大日本地震史料』（震災予防調査会報告第四十六号）,S00001710,基煕公記,大御留守居与力番所、二之丸銅御門かふき番所、紅葉山下かふき番所、内桜田御門番所、大手腰掛、一、橋御舂屋、一、和田倉御門、一、馬場先御門、一、鍜冶橋御門、一、数寄橋御門、一、山下御門、一、雉子橋御門、一、小石川御門、一、牛込御門、一、市ケ谷御門、一、半蔵御門、一、赤坂御門、一、四谷御門、一、田安御門、一、竹橋御門、一、吹上御門、一、内竹橋口、一、北之丸口、清水御門、一、壱ツ橋御門、一、神田御門、一、平川口御門、一、筋違橋御門、一、浅草橋御門、一、常盤橋御門、一、呉服橋御門、一、外桜田御門、一、西丸下御厩、一、虎之御門、一、幸橋御門、一、日比谷御門、右之所々破損ゆりつふし、死人あやまちも大勢有之由,―,二之丸銅御門かふき番所,－,－,1703/12/31,元禄16/11/23,伝聞,建物被害,"35.686228,139.758657",3,旧下乗橋付近。に置く。,
39,『大日本地震史料』（震災予防調査会報告第四十六号）,S00001710,基煕公記,大御留守居与力番所、二之丸銅御門かふき番所、紅葉山下かふき番所、内桜田御門番所、大手腰掛、一、橋御舂屋、一、和田倉御門、一、馬場先御門、一、鍜冶橋御門、一、数寄橋御門、一、山下御門、一、雉子橋御門、一、小石川御門、一、牛込御門、一、市ケ谷御門、一、半蔵御門、一、赤坂御門、一、四谷御門、一、田安御門、一、竹橋御門、一、吹上御門、一、内竹橋口、一、北之丸口、清水御門、一、壱ツ橋御門、一、神田御門、一、平川口御門、一、筋違橋御門、一、浅草橋御門、一、常盤橋御門、一、呉服橋御門、一、外桜田御門、一、西丸下御厩、一、虎之御門、一、幸橋御門、一、日比谷御門、右之所々破損ゆりつふし、死人あやまちも大勢有之由,―,二之丸銅御門かふき番所,－,－,1703/12/31,元禄16/11/23,伝聞,人的被害,"35.686228,139.758657",3,旧下乗橋付近。に置く。,
40,『大日本地震史料』（震災予防調査会報告第四十六号）,S00001710,基煕公記,大御留守居与力番所、二之丸銅御門かふき番所、紅葉山下かふき番所、内桜田御門番所、大手腰掛、一、橋御舂屋、一、和田倉御門、一、馬場先御門、一、鍜冶橋御門、一、数寄橋御門、一、山下御門、一、雉子橋御門、一、小石川御門、一、牛込御門、一、市ケ谷御門、一、半蔵御門、一、赤坂御門、一、四谷御門、一、田安御門、一、竹橋御門、一、吹上御門、一、内竹橋口、一、北之丸口、清水御門、一、壱ツ橋御門、一、神田御門、一、平川口御門、一、筋違橋御門、一、浅草橋御門、一、常盤橋御門、一、呉服橋御門、一、外桜田御門、一、西丸下御厩、一、虎之御門、一、幸橋御門、一、日比谷御門、右之所々破損ゆりつふし、死人あやまちも大勢有之由,―,紅葉山下かふき番所,－,－,1703/12/31,元禄16/11/23,伝聞,建物被害,"35.686925,139.753121",3,便宜的に皇居に置く。,
41,『大日本地震史料』（震災予防調査会報告第四十六号）,S00001710,基煕公記,大御留守居与力番所、二之丸銅御門かふき番所、紅葉山下かふき番所、内桜田御門番所、大手腰掛、一、橋御舂屋、一、和田倉御門、一、馬場先御門、一、鍜冶橋御門、一、数寄橋御門、一、山下御門、一、雉子橋御門、一、小石川御門、一、牛込御門、一、市ケ谷御門、一、半蔵御門、一、赤坂御門、一、四谷御門、一、田安御門、一、竹橋御門、一、吹上御門、一、内竹橋口、一、北之丸口、清水御門、一、壱ツ橋御門、一、神田御門、一、平川口御門、一、筋違橋御門、一、浅草橋御門、一、常盤橋御門、一、呉服橋御門、一、外桜田御門、一、西丸下御厩、一、虎之御門、一、幸橋御門、一、日比谷御門、右之所々破損ゆりつふし、死人あやまちも大勢有之由,―,紅葉山下かふき番所,－,－,1703/12/31,元禄16/11/23,伝聞,人的被害,"35.686925,139.753121",3,便宜的に皇居に置く。,
42,『大日本地震史料』（震災予防調査会報告第四十六号）,S00001710,基煕公記,大御留守居与力番所、二之丸銅御門かふき番所、紅葉山下かふき番所、内桜田御門番所、大手腰掛、一、橋御舂屋、一、和田倉御門、一、馬場先御門、一、鍜冶橋御門、一、数寄橋御門、一、山下御門、一、雉子橋御門、一、小石川御門、一、牛込御門、一、市ケ谷御門、一、半蔵御門、一、赤坂御門、一、四谷御門、一、田安御門、一、竹橋御門、一、吹上御門、一、内竹橋口、一、北之丸口、清水御門、一、壱ツ橋御門、一、神田御門、一、平川口御門、一、筋違橋御門、一、浅草橋御門、一、常盤橋御門、一、呉服橋御門、一、外桜田御門、一、西丸下御厩、一、虎之御門、一、幸橋御門、一、日比谷御門、右之所々破損ゆりつふし、死人あやまちも大勢有之由,―,内桜田御門番所,－,－,1703/12/31,元禄16/11/23,伝聞,建物被害,"35.683969,139.758528",3,内桜田門＝桔梗門,
43,『大日本地震史料』（震災予防調査会報告第四十六号）,S00001710,基煕公記,大御留守居与力番所、二之丸銅御門かふき番所、紅葉山下かふき番所、内桜田御門番所、大手腰掛、一、橋御舂屋、一、和田倉御門、一、馬場先御門、一、鍜冶橋御門、一、数寄橋御門、一、山下御門、一、雉子橋御門、一、小石川御門、一、牛込御門、一、市ケ谷御門、一、半蔵御門、一、赤坂御門、一、四谷御門、一、田安御門、一、竹橋御門、一、吹上御門、一、内竹橋口、一、北之丸口、清水御門、一、壱ツ橋御門、一、神田御門、一、平川口御門、一、筋違橋御門、一、浅草橋御門、一、常盤橋御門、一、呉服橋御門、一、外桜田御門、一、西丸下御厩、一、虎之御門、一、幸橋御門、一、日比谷御門、右之所々破損ゆりつふし、死人あやまちも大勢有之由,―,内桜田御門番所,－,－,1703/12/31,元禄16/11/23,伝聞,人的被害,"35.683969,139.758528",3,内桜田門＝桔梗門,
44,『大日本地震史料』（震災予防調査会報告第四十六号）,S00001710,基煕公記,大御留守居与力番所、二之丸銅御門かふき番所、紅葉山下かふき番所、内桜田御門番所、大手腰掛、一、橋御舂屋、一、和田倉御門、一、馬場先御門、一、鍜冶橋御門、一、数寄橋御門、一、山下御門、一、雉子橋御門、一、小石川御門、一、牛込御門、一、市ケ谷御門、一、半蔵御門、一、赤坂御門、一、四谷御門、一、田安御門、一、竹橋御門、一、吹上御門、一、内竹橋口、一、北之丸口、清水御門、一、壱ツ橋御門、一、神田御門、一、平川口御門、一、筋違橋御門、一、浅草橋御門、一、常盤橋御門、一、呉服橋御門、一、外桜田御門、一、西丸下御厩、一、虎之御門、一、幸橋御門、一、日比谷御門、右之所々破損ゆりつふし、死人あやまちも大勢有之由,―,大手腰掛,－,－,1703/12/31,元禄16/11/23,伝聞,建物被害,"35.685385,139.761060",3,大手門近く,
45,『大日本地震史料』（震災予防調査会報告第四十六号）,S00001710,基煕公記,大御留守居与力番所、二之丸銅御門かふき番所、紅葉山下かふき番所、内桜田御門番所、大手腰掛、一、橋御舂屋、一、和田倉御門、一、馬場先御門、一、鍜冶橋御門、一、数寄橋御門、一、山下御門、一、雉子橋御門、一、小石川御門、一、牛込御門、一、市ケ谷御門、一、半蔵御門、一、赤坂御門、一、四谷御門、一、田安御門、一、竹橋御門、一、吹上御門、一、内竹橋口、一、北之丸口、清水御門、一、壱ツ橋御門、一、神田御門、一、平川口御門、一、筋違橋御門、一、浅草橋御門、一、常盤橋御門、一、呉服橋御門、一、外桜田御門、一、西丸下御厩、一、虎之御門、一、幸橋御門、一、日比谷御門、右之所々破損ゆりつふし、死人あやまちも大勢有之由,―,大手腰掛,－,－,1703/12/31,元禄16/11/23,伝聞,人的被害,"35.685385,139.761060",3,大手門近く,
46,『大日本地震史料』（震災予防調査会報告第四十六号）,S00001710,基煕公記,大御留守居与力番所、二之丸銅御門かふき番所、紅葉山下かふき番所、内桜田御門番所、大手腰掛、一、橋御舂屋、一、和田倉御門、一、馬場先御門、一、鍜冶橋御門、一、数寄橋御門、一、山下御門、一、雉子橋御門、一、小石川御門、一、牛込御門、一、市ケ谷御門、一、半蔵御門、一、赤坂御門、一、四谷御門、一、田安御門、一、竹橋御門、一、吹上御門、一、内竹橋口、一、北之丸口、清水御門、一、壱ツ橋御門、一、神田御門、一、平川口御門、一、筋違橋御門、一、浅草橋御門、一、常盤橋御門、一、呉服橋御門、一、外桜田御門、一、西丸下御厩、一、虎之御門、一、幸橋御門、一、日比谷御門、右之所々破損ゆりつふし、死人あやまちも大勢有之由,―,一橋御舂屋,－,－,1703/12/31,元禄16/11/23,伝聞,建物被害,"35.691028,139.757386",3,現在竹橋パレスサイドビル,
47,『大日本地震史料』（震災予防調査会報告第四十六号）,S00001710,基煕公記,大御留守居与力番所、二之丸銅御門かふき番所、紅葉山下かふき番所、内桜田御門番所、大手腰掛、一、橋御舂屋、一、和田倉御門、一、馬場先御門、一、鍜冶橋御門、一、数寄橋御門、一、山下御門、一、雉子橋御門、一、小石川御門、一、牛込御門、一、市ケ谷御門、一、半蔵御門、一、赤坂御門、一、四谷御門、一、田安御門、一、竹橋御門、一、吹上御門、一、内竹橋口、一、北之丸口、清水御門、一、壱ツ橋御門、一、神田御門、一、平川口御門、一、筋違橋御門、一、浅草橋御門、一、常盤橋御門、一、呉服橋御門、一、外桜田御門、一、西丸下御厩、一、虎之御門、一、幸橋御門、一、日比谷御門、右之所々破損ゆりつふし、死人あやまちも大勢有之由,―,一橋御舂屋,－,－,1703/12/31,元禄16/11/23,伝聞,人的被害,"35.691028,139.757386",3,現在竹橋パレスサイドビル,
48,『大日本地震史料』（震災予防調査会報告第四十六号）,S00001710,基煕公記,大御留守居与力番所、二之丸銅御門かふき番所、紅葉山下かふき番所、内桜田御門番所、大手腰掛、一、橋御舂屋、一、和田倉御門、一、馬場先御門、一、鍜冶橋御門、一、数寄橋御門、一、山下御門、一、雉子橋御門、一、小石川御門、一、牛込御門、一、市ケ谷御門、一、半蔵御門、一、赤坂御門、一、四谷御門、一、田安御門、一、竹橋御門、一、吹上御門、一、内竹橋口、一、北之丸口、清水御門、一、壱ツ橋御門、一、神田御門、一、平川口御門、一、筋違橋御門、一、浅草橋御門、一、常盤橋御門、一、呉服橋御門、一、外桜田御門、一、西丸下御厩、一、虎之御門、一、幸橋御門、一、日比谷御門、右之所々破損ゆりつふし、死人あやまちも大勢有之由,―,和田倉御門,－,－,1703/12/31,元禄16/11/23,伝聞,建物被害,"35.683475,139.762402",3,和田倉橋,
49,『大日本地震史料』（震災予防調査会報告第四十六号）,S00001710,基煕公記,大御留守居与力番所、二之丸銅御門かふき番所、紅葉山下かふき番所、内桜田御門番所、大手腰掛、一、橋御舂屋、一、和田倉御門、一、馬場先御門、一、鍜冶橋御門、一、数寄橋御門、一、山下御門、一、雉子橋御門、一、小石川御門、一、牛込御門、一、市ケ谷御門、一、半蔵御門、一、赤坂御門、一、四谷御門、一、田安御門、一、竹橋御門、一、吹上御門、一、内竹橋口、一、北之丸口、清水御門、一、壱ツ橋御門、一、神田御門、一、平川口御門、一、筋違橋御門、一、浅草橋御門、一、常盤橋御門、一、呉服橋御門、一、外桜田御門、一、西丸下御厩、一、虎之御門、一、幸橋御門、一、日比谷御門、右之所々破損ゆりつふし、死人あやまちも大勢有之由,―,和田倉御門,－,－,1703/12/31,元禄16/11/23,伝聞,人的被害,"35.683475,139.762402",3,和田倉橋,
50,『大日本地震史料』（震災予防調査会報告第四十六号）,S00001710,基煕公記,大御留守居与力番所、二之丸銅御門かふき番所、紅葉山下かふき番所、内桜田御門番所、大手腰掛、一、橋御舂屋、一、和田倉御門、一、馬場先御門、一、鍜冶橋御門、一、数寄橋御門、一、山下御門、一、雉子橋御門、一、小石川御門、一、牛込御門、一、市ケ谷御門、一、半蔵御門、一、赤坂御門、一、四谷御門、一、田安御門、一、竹橋御門、一、吹上御門、一、内竹橋口、一、北之丸口、清水御門、一、壱ツ橋御門、一、神田御門、一、平川口御門、一、筋違橋御門、一、浅草橋御門、一、常盤橋御門、一、呉服橋御門、一、外桜田御門、一、西丸下御厩、一、虎之御門、一、幸橋御門、一、日比谷御門、右之所々破損ゆりつふし、死人あやまちも大勢有之由,―,馬場先御門,－,－,1703/12/31,元禄16/11/23,伝聞,建物被害,"35.678638,139.760352",3,馬場崎門,
51,『大日本地震史料』（震災予防調査会報告第四十六号）,S00001710,基煕公記,大御留守居与力番所、二之丸銅御門かふき番所、紅葉山下かふき番所、内桜田御門番所、大手腰掛、一、橋御舂屋、一、和田倉御門、一、馬場先御門、一、鍜冶橋御門、一、数寄橋御門、一、山下御門、一、雉子橋御門、一、小石川御門、一、牛込御門、一、市ケ谷御門、一、半蔵御門、一、赤坂御門、一、四谷御門、一、田安御門、一、竹橋御門、一、吹上御門、一、内竹橋口、一、北之丸口、清水御門、一、壱ツ橋御門、一、神田御門、一、平川口御門、一、筋違橋御門、一、浅草橋御門、一、常盤橋御門、一、呉服橋御門、一、外桜田御門、一、西丸下御厩、一、虎之御門、一、幸橋御門、一、日比谷御門、右之所々破損ゆりつふし、死人あやまちも大勢有之由,―,馬場先御門,－,－,1703/12/31,元禄16/11/23,伝聞,人的被害,"35.678638,139.760352",3,馬場崎門,
52,『大日本地震史料』（震災予防調査会報告第四十六号）,S00001710,基煕公記,大御留守居与力番所、二之丸銅御門かふき番所、紅葉山下かふき番所、内桜田御門番所、大手腰掛、一、橋御舂屋、一、和田倉御門、一、馬場先御門、一、鍜冶橋御門、一、数寄橋御門、一、山下御門、一、雉子橋御門、一、小石川御門、一、牛込御門、一、市ケ谷御門、一、半蔵御門、一、赤坂御門、一、四谷御門、一、田安御門、一、竹橋御門、一、吹上御門、一、内竹橋口、一、北之丸口、清水御門、一、壱ツ橋御門、一、神田御門、一、平川口御門、一、筋違橋御門、一、浅草橋御門、一、常盤橋御門、一、呉服橋御門、一、外桜田御門、一、西丸下御厩、一、虎之御門、一、幸橋御門、一、日比谷御門、右之所々破損ゆりつふし、死人あやまちも大勢有之由,―,鍜冶橋御門,－,－,1703/12/31,元禄16/11/23,伝聞,建物被害,"35.677294,139.767042",3,鍛冶橋交差点,
53,『大日本地震史料』（震災予防調査会報告第四十六号）,S00001710,基煕公記,大御留守居与力番所、二之丸銅御門かふき番所、紅葉山下かふき番所、内桜田御門番所、大手腰掛、一、橋御舂屋、一、和田倉御門、一、馬場先御門、一、鍜冶橋御門、一、数寄橋御門、一、山下御門、一、雉子橋御門、一、小石川御門、一、牛込御門、一、市ケ谷御門、一、半蔵御門、一、赤坂御門、一、四谷御門、一、田安御門、一、竹橋御門、一、吹上御門、一、内竹橋口、一、北之丸口、清水御門、一、壱ツ橋御門、一、神田御門、一、平川口御門、一、筋違橋御門、一、浅草橋御門、一、常盤橋御門、一、呉服橋御門、一、外桜田御門、一、西丸下御厩、一、虎之御門、一、幸橋御門、一、日比谷御門、右之所々破損ゆりつふし、死人あやまちも大勢有之由,―,鍜冶橋御門,－,－,1703/12/31,元禄16/11/23,伝聞,人的被害,"35.677294,139.767042",3,鍛冶橋交差点,
